,Repository Name,Owner,Description,URL,Programming Language,Creation Date,Last Updated Date,Number of Stars,Number of Forks,Number of Open Issues,License Type,Repository Age (days),Created Year
34,awesome-machine-learning,josephmisiti,"a curated list of awesome machine learning frameworks, libraries and software.",https://api.github.com/repos/josephmisiti/awesome-machine-learning,Python,2014-07-15 19:11:19+00:00,2024-10-05 09:07:10+00:00,65601,14598,7,User,3734,2014
35,scikit-learn,scikit-learn,scikit-learn: machine learning in python,https://api.github.com/repos/scikit-learn/scikit-learn,Python,2010-08-17 09:43:38+00:00,2024-10-05 07:54:11+00:00,59650,25312,2133,Organization,5162,2010
36,gradio,gradio-app,"build and share delightful machine learning apps, all in python. 🌟 star to support our work!",https://api.github.com/repos/gradio-app/gradio,Python,2018-12-19 08:24:04+00:00,2024-10-05 08:33:47+00:00,32512,2440,559,Organization,2117,2018
37,C-Plus-Plus,thealgorithms,"collection of various algorithms in mathematics, machine learning, computer science and physics implemented in c++ for educational purposes.",https://api.github.com/repos/TheAlgorithms/C-Plus-Plus,C++,2016-07-16 10:19:45+00:00,2024-10-05 09:20:06+00:00,30246,7146,34,Organization,3002,2016
38,linkedin-skill-assessments-quizzes,ebazhanov,"full reference of linkedin answers 2024 for skill assessments (aws-lambda, rest-api, javascript, react, git, html, jquery, mongodb, java, go, python, machine-learning, power-point) linkedin excel test lösungen, linkedin machine learning test linkedin test questions and answers",https://api.github.com/repos/Ebazhanov/linkedin-skill-assessments-quizzes,Python,2019-07-13 19:52:56+00:00,2024-10-05 08:55:56+00:00,28415,13366,86,User,1910,2019
39,machine-learning-for-software-engineers,zuzoovn,a complete daily plan for studying to become a machine learning engineer.,https://api.github.com/repos/ZuzooVn/machine-learning-for-software-engineers,Python,2016-10-09 21:20:25+00:00,2024-10-04 15:51:57+00:00,28087,6196,26,User,2917,2016
40,handson-ml2,ageron,"a series of jupyter notebooks that walk you through the fundamentals of machine learning and deep learning in python using scikit-learn, keras and tensorflow 2.",https://api.github.com/repos/ageron/handson-ml2,Jupyter Notebook,2019-01-08 03:49:07+00:00,2024-10-05 05:17:13+00:00,27815,12742,220,User,2097,2019
41,netron,lutzroeder,"visualizer for neural network, deep learning and machine learning models",https://api.github.com/repos/lutzroeder/netron,JavaScript,2010-12-26 12:53:43+00:00,2024-10-05 08:01:48+00:00,27763,2759,24,User,5031,2010
42,applied-ml,eugeneyan,📚 papers & tech blogs by companies sharing their work on data science & machine learning in production.,https://api.github.com/repos/eugeneyan/applied-ml,Python,2020-07-04 18:57:47+00:00,2024-10-05 05:48:09+00:00,27197,3674,2,User,1553,2020
43,ML-From-Scratch,eriklindernoren,machine learning from scratch. bare bones numpy implementations of machine learning models and algorithms with a focus on accessibility. aims to cover everything from linear regression to deep learning.,https://api.github.com/repos/eriklindernoren/ML-From-Scratch,Python,2017-02-05 12:11:23+00:00,2024-10-05 07:49:11+00:00,23881,4583,51,User,2798,2017
